customer_id,age,salary_band,account_type,days_since_open,tenure_segment,is_within_90_days,salary_deposit,debit_orders_count,avg_monthly_transactions,avg_balance,csat_score,complaints_count,activation_score,customer_segment,churn
1,56,Medium,MiGoals,137,3-6 Months,0,1,1,13,7558.7541023013055,4.8,2,65.6,Inactive,0
2,46,Low,MiGoals Premium,175,3-6 Months,0,0,3,72,6650.936671273653,2.5,2,116.4,Semi-Active,1
3,32,Medium,MiGoals Plus,289,6-12 Months,0,1,2,74,7330.0019407218115,3.0,1,148.8,Active,0
4,60,Low,MiGoals Plus,19,0-3 Months,1,0,2,72,6006.172690350133,1.9,1,106.4,Semi-Active,1
5,25,High,MiGoals,195,6-12 Months,0,1,3,64,3123.29104677056,3.2,2,146.8,Active,0
6,38,Low,MiGoals Premium,330,6-12 Months,0,1,5,20,5999.81787021881,3.9,0,114.0,Semi-Active,0
7,56,Medium,MiGoals Plus,175,3-6 Months,0,0,3,72,7557.74270912356,2.4,1,116.4,Semi-Active,0
8,36,Low,MiGoals,354,6-12 Months,0,1,0,73,3024.2280263343378,2.5,0,127.6,Active,0
9,40,High,MiGoals Plus,141,3-6 Months,0,0,2,71,3222.934958530137,4.4,1,105.2,Semi-Active,0
10,28,Medium,MiGoals Plus,246,6-12 Months,0,0,3,78,5384.789035122226,1.5,1,123.6,Semi-Active,0
11,28,Medium,MiGoals,385,12+ Months,0,0,2,28,5071.676162419183,3.7,0,53.6,Semi-Active,0
12,41,Low,MiGoals,93,3-6 Months,0,0,3,2,5959.590413453085,2.9,0,32.4,Inactive,1
13,53,Medium,MiGoals,239,6-12 Months,0,1,2,43,5270.755135740133,2.5,1,111.6,Active,0
14,57,Low,MiGoals,205,6-12 Months,0,0,0,8,6399.998864492969,3.8,1,9.6,Inactive,1
15,41,High,MiGoals Premium,48,0-3 Months,1,1,2,13,9054.545048623397,4.4,2,75.6,Inactive,1
16,20,Low,MiGoals Premium,245,6-12 Months,0,1,1,35,7345.970971493393,3.5,1,92.0,Semi-Active,0
17,39,Low,MiGoals Plus,320,6-12 Months,0,1,2,23,6140.379135841044,1.6,2,87.6,Semi-Active,0
18,19,Low,MiGoals,317,6-12 Months,0,1,2,46,3233.2211326355696,3.1,2,115.2,Active,0
19,41,Medium,MiGoals,295,6-12 Months,0,1,4,15,4195.033530561152,3.1,0,98.0,Inactive,0
